section_crn,subject,number,section,info,time,times_summary,locations_summary,times_long_summary,times_by_day
25155,AFAM,118D,01,Discussion Section,W 1.30-2.20,W 1:30pm-2:20pm,,W 1:30pm-2:20pm,"{'Wednesday': ('13:30', '14:20', '')}"
25159,AFAM,118D,02,Discussion Section,Th 10.30-11.20,Th 10:30am-11:20am,,Th 10:30am-11:20am,"{'Thursday': ('10:30', '11:20', '')}"
25163,AFAM,118D,03,Discussion Section,F 1.30-2.20,F 1:30pm-2:20pm,,F 1:30pm-2:20pm,"{'Friday': ('13:30', '14:20', '')}"
25167,AFAM,118D,04,Discussion Section,F 2.30-3.20,F 2:30pm-3:20pm,,F 2:30pm-3:20pm,"{'Friday': ('14:30', '15:20', '')}"
25740,AFAM,118D,05,GRADUATE STUDENTS ONLY,T 4.30-5.20,T 4:30pm-5:20pm,,T 4:30pm-5:20pm,"{'Tuesday': ('16:30', '17:20', '')}"
25838,AFAM,118D,06,Discussion Section,,,,,{}
25842,AFAM,118D,07,Discussion Section,,,,,{}
25846,AFAM,118D,08,Discussion Section,T 10.30-11.20,T 10:30am-11:20am,,T 10:30am-11:20am,"{'Tuesday': ('10:30', '11:20', '')}"
25850,AFAM,118D,09,Discussion Section,W 10.30-11.20,W 10:30am-11:20am,,W 10:30am-11:20am,"{'Wednesday': ('10:30', '11:20', '')}"
25854,AFAM,118D,10,Discussion Section,,,,,{}
25858,AFAM,118D,11,Discussion Section,Th 2.30-3.20,Th 2:30pm-3:20pm,,Th 2:30pm-3:20pm,"{'Thursday': ('14:30', '15:20', '')}"
25862,AFAM,118D,12,Discussion Section,,,,,{}
25866,AFAM,118D,13,Discussion Section,,,,,{}
25971,AFAM,118D,14,Discussion Section,T 1.30-2.20,T 1:30pm-2:20pm,,T 1:30pm-2:20pm,"{'Tuesday': ('13:30', '14:20', '')}"
26005,AFAM,118D,15,Discussion Section,Th 1.30-2.20,Th 1:30pm-2:20pm,,Th 1:30pm-2:20pm,"{'Thursday': ('13:30', '14:20', '')}"
25309,AFAM,172D,01,Discussion Section,M 10.30-11.20,M 10:30am-11:20am,,M 10:30am-11:20am,"{'Monday': ('10:30', '11:20', '')}"
25311,AFAM,172D,02,Discussion Section,M 1.30-2.20,M 1:30pm-2:20pm,,M 1:30pm-2:20pm,"{'Monday': ('13:30', '14:20', '')}"
25313,AFAM,172D,03,Discussion Section,W 10.30-11.20,W 10:30am-11:20am,,W 10:30am-11:20am,"{'Wednesday': ('10:30', '11:20', '')}"
25315,AFAM,172D,04,Discussion Section,,,,,{}
25317,AFAM,172D,05,Discussion Section,Th 4.00-4.50,Th 4:00pm-4:50pm,,Th 4:00pm-4:50pm,"{'Thursday': ('16:00', '16:50', '')}"
25319,AFAM,172D,06,Discussion Section,Th 5.00-5.50,Th 5:00pm-5:50pm,,Th 5:00pm-5:50pm,"{'Thursday': ('17:00', '17:50', '')}"
25321,AFAM,172D,07,Discussion Section,F 1.30-2.20,F 1:30pm-2:20pm,,F 1:30pm-2:20pm,"{'Friday': ('13:30', '14:20', '')}"
25323,AFAM,172D,08,Discussion Section,,,,,{}
25738,AFAM,485D,01,Discussion Section,,,,,{}
